'place','latitude','longitude'
'Acadia, ME',44.3195407,-68.4368925
'Asunción, Paraguay',-25.2966809,-57.6681289
'Bangkok, Thailand',13.7251088,100.3529226
'Beijing, China',39.9385879,115.8370387
'Berlin, Germany',52.5063566,12.8643382
'Boston, MA',42.3145167,-71.250464
'Bucharest, Romania',44.4379853,25.9545549
'Buenos Aires, Argentina',-34.6154611,-58.5733811
'Campinas, Brazil',-22.8943438,-47.3112184
'Cape Town, South Africa',-33.9131291,18.0956434
'Copenhagen, Denmark',55.6713812,12.4537426
'Cuenca, Ecuador',-2.8920956,-79.0594201
'Gallo-Modesto, CA',37.6162543,-121.0137823
'Glacier National Park, Montana',48.6596969,-114.4062569
'Hangzhou, China',30.2616855,119.8917057
'Hilo, Hawaii',19.686867,-155.2300191
'Hong Kong, China',22.3531282,113.8475133
'Israel',31.4037192,33.9606743
'Japan',31.7227796,120.3247971
'Konstanz, Germany',47.7084536,9.081667
'Kyebi, Ghana',6.1654723,-0.5712892
'London, England',51.5287352,-0.3817742
'Lyon, France',45.7580539,4.7650814
'Mandi, India',31.65198,76.4455754
'Massachusetts Water Resource Outreach',42.0191687,-73.9263814
'Melbourne, Australia',-37.9701544,144.4927279
'MIT Lincoln Labs-Lexington, MA',42.4510113,-71.2738882
'MITRE-Bedford, MA',42.5049092,-71.2387276
'Monteverde, Costa Rica',10.2856851,-84.8885273
'Moscow, Russia',55.5815245,36.8251372
'Nancy, France',48.688173,6.1033975
'Nantucket, Massachusetts',41.3166931,-70.4216829
'Panama City, Panama',9.0817276,-79.5932221
'Pioneer Valley-Springfield, MA',42.1129465,-72.6163811
'Rabat, Morocco',33.9693414,-6.9273026
'Reykjavik, Iceland',64.1335729,-21.9925225
'San José, Costa Rica',9.9357761,-84.1833852
'San Juan, Puerto Rico',18.3893875,-66.1305125
'Santa Fe, New Mexico',35.6826911,-106.1231196
'Silicon Valley, California',37.4030185,-122.3212801
'Stantec-Boston, MA',42.3580871,-71.0627964
'Stockholm, Sweden',59.3261917,17.7018811
'Switzerland',46.7950442,5.9815959
'Thessaloniki, Greece',40.6213016,22.8759876
'Tirana, Albania',41.3310899,19.7477835
'Venice, Italy',45.4046829,12.101564
'Wall Street/FinTech-New York, NY',40.7060179,-74.0110099
'Washington, D.C.',38.89378,-77.1546592
'Wellington, New Zealand',-41.244027,174.6217727
'Windhoek, Namibia',-22.5635826,16.9921861
'Worcester, England',52.1965985,-2.2802927
'Worcester, Massachusetts',42.2755407,-71.8777776
'WPI',42.2745793,-71.8084611
'Yerevan, Armenia',40.1535684,44.348484
